file_name,temp,replicate,cell_density,start_time,cell_volume
data-raw/flowcam-summaries-feb20/10_summary,,10,8574,17-02-20 13:27,1106.82
data-raw/flowcam-summaries-feb20/100_r2_summary,,100,68667,17-02-20 17:32,1687.15
data-raw/flowcam-summaries-feb20/111_summary,,111,26197,17-02-20 17:33,970.76
data-raw/flowcam-summaries-feb20/112_summary,,112,104513,17-02-20 17:34,650.8
data-raw/flowcam-summaries-feb20/113_summary,,113,43086,17-02-20 17:36,781.27
data-raw/flowcam-summaries-feb20/114_summary,,114,32653,17-02-20 17:37,1117.69
data-raw/flowcam-summaries-feb20/115_summary,,115,32907,17-02-20 17:38,465.3
data-raw/flowcam-summaries-feb20/116_summary,,116,29612,17-02-20 17:39,334.26
data-raw/flowcam-summaries-feb20/117_summary,,117,25396,17-02-20 17:41,373.77
data-raw/flowcam-summaries-feb20/118_summary_export,,118,28887,17-02-20 17:42,986.1
data-raw/flowcam-summaries-feb20/119_summary,,119,14082,17-02-20 17:44,647.55
data-raw/flowcam-summaries-feb20/120_summary,,120,15335,17-02-20 17:45,535.58
data-raw/flowcam-summaries-feb20/131_summary,,131,24329,17-02-20 17:46,705.89
data-raw/flowcam-summaries-feb20/132_summary,,132,19953,17-02-20 17:47,952.82
data-raw/flowcam-summaries-feb20/133_summary,,133,16902,17-02-20 17:48,561.79
data-raw/flowcam-summaries-feb20/135_summary,,135,12969,17-02-20 17:50,1254.69
data-raw/flowcam-summaries-feb20/136_summary,,136,15080,17-02-20 17:52,407.99
data-raw/flowcam-summaries-feb20/137_summary,,137,13294,17-02-20 17:53,756.85
data-raw/flowcam-summaries-feb20/138_summary,,138,8545,17-02-20 17:56,953.39
data-raw/flowcam-summaries-feb20/139_summary,,139,10363,17-02-20 17:57,732.59
data-raw/flowcam-summaries-feb20/140_summary,,140,13567,17-02-20 17:58,1138.2
data-raw/flowcam-summaries-feb20/151_summary,,151,16337,17-02-20 17:59,577.56
data-raw/flowcam-summaries-feb20/152_summary,,152,22917,17-02-20 18:00,905.49
data-raw/flowcam-summaries-feb20/153_summary,,153,46487,17-02-20 18:02,570.77
data-raw/flowcam-summaries-feb20/154_summary,,154,39088,17-02-20 18:03,1078.1
data-raw/flowcam-summaries-feb20/155_summary,,155,55712,17-02-20 18:04,699.74
data-raw/flowcam-summaries-feb20/156_summary,,156,17073,17-02-20 18:05,1279.82
data-raw/flowcam-summaries-feb20/157_summary,,157,23119,17-02-20 18:06,1163.07
data-raw/flowcam-summaries-feb20/158_summary,,158,28620,17-02-20 18:07,686.3
data-raw/flowcam-summaries-feb20/159_summary,,159,71748,17-02-20 18:08,676.87
data-raw/flowcam-summaries-feb20/160_summary,,160,30580,17-02-20 18:09,830.86
data-raw/flowcam-summaries-feb20/2_summary,,2,5314,17-02-20 13:01,480.87
data-raw/flowcam-summaries-feb20/21_summary,,21,2020,17-02-20 13:28,541.45
data-raw/flowcam-summaries-feb20/22_summary,,22,4019,17-02-20 13:31,1470.3
data-raw/flowcam-summaries-feb20/23_summary,,23,1332,17-02-20 13:35,706.64
data-raw/flowcam-summaries-feb20/24_summary,,24,1434,17-02-20 13:37,2050.86
data-raw/flowcam-summaries-feb20/25_summary,,25,2182,17-02-20 13:39,874.25
data-raw/flowcam-summaries-feb20/26_summary,,26,2331,17-02-20 13:41,478.2
data-raw/flowcam-summaries-feb20/27_summary,,27,2187,17-02-20 13:42,312.14
data-raw/flowcam-summaries-feb20/28_summary,,28,2036,17-02-20 13:44,388.87
data-raw/flowcam-summaries-feb20/29_summary,,29,5624,17-02-20 13:46,540.46
data-raw/flowcam-summaries-feb20/3_summary,,3,3311,17-02-20 13:03,632.77
data-raw/flowcam-summaries-feb20/30_summary,,30,7088,17-02-20 13:48,906.59
data-raw/flowcam-summaries-feb20/4_summary,,4,10170,17-02-20 13:05,660.26
data-raw/flowcam-summaries-feb20/41_summary,,41,4055,17-02-20 13:55,913.28
data-raw/flowcam-summaries-feb20/42_summary,,42,5738,17-02-20 13:58,1181.43
data-raw/flowcam-summaries-feb20/43_summary,,43,4902,17-02-20 14:00,1695.15
data-raw/flowcam-summaries-feb20/44_summary,,44,61110,17-02-20 14:01,1890.68
data-raw/flowcam-summaries-feb20/45_summary,,45,4504,17-02-20 14:02,1651.35
data-raw/flowcam-summaries-feb20/46_summary,,46,5551,17-02-20 14:04,1794.5
data-raw/flowcam-summaries-feb20/47_summary,,47,7754,17-02-20 14:05,1004.15
data-raw/flowcam-summaries-feb20/48_summary,,48,10278,17-02-20 14:06,1190.06
data-raw/flowcam-summaries-feb20/49_c_summary,,49,8358,17-02-20 14:10,1843.81
data-raw/flowcam-summaries-feb20/5_summary,,5,8036,17-02-20 13:06,495.68
data-raw/flowcam-summaries-feb20/50_summary,,50,7991,17-02-20 14:12,1737.01
data-raw/flowcam-summaries-feb20/6_summary,,6,13300,17-02-20 13:08,1681.77
data-raw/flowcam-summaries-feb20/61_summary,,61,1127,17-02-20 14:13,322.51
data-raw/flowcam-summaries-feb20/62_summary,,62,161210,17-02-20 14:15,1730.61
data-raw/flowcam-summaries-feb20/63_summary,,63,4384,17-02-20 14:21,1028.04
data-raw/flowcam-summaries-feb20/64_summary,,64,2713,17-02-20 14:19,1299.73
data-raw/flowcam-summaries-feb20/65_summary,,65,1529,17-02-20 14:23,553.74
data-raw/flowcam-summaries-feb20/66_summary,,66,12566,17-02-20 14:24,1006.87
data-raw/flowcam-summaries-feb20/67_summary,,67,5250,17-02-20 14:26,904.31
data-raw/flowcam-summaries-feb20/68_summary,,68,3040,17-02-20 14:27,2176.55
data-raw/flowcam-summaries-feb20/69_summary,,69,2556,17-02-20 14:29,862.01
data-raw/flowcam-summaries-feb20/7_summary,,7,8124,17-02-20 13:14,1615.81
data-raw/flowcam-summaries-feb20/8_summary,,8,7861,17-02-20 13:17,1051.67
data-raw/flowcam-summaries-feb20/9_summary,,9,6227,17-02-20 13:25,1438.81
data-raw/flowcam-summaries-feb20/91_summary,,91,11553,17-02-20 17:20,1188.49
data-raw/flowcam-summaries-feb20/92_summary,,92,12374,17-02-20 17:21,799.22
data-raw/flowcam-summaries-feb20/93_summary,,93,9997,17-02-20 17:22,1095.54
data-raw/flowcam-summaries-feb20/94_summary,,94,3411,17-02-20 17:23,235.17
data-raw/flowcam-summaries-feb20/95_summary,,95,8477,17-02-20 17:24,1065.29
data-raw/flowcam-summaries-feb20/96_r2_summary,,96,36125,17-02-20 17:26,1835.85
data-raw/flowcam-summaries-feb20/97_summary,,97,48367,17-02-20 17:27,1333.58
data-raw/flowcam-summaries-feb20/98_summary,,98,15234,17-02-20 17:28,1149.08
data-raw/flowcam-summaries-feb20/99_summary,,99,59842,17-02-20 17:29,1629.62
data-raw/flowcam-summaries-feb20/C12-1_summary,12,C12-1,20498,17-02-20 14:32,684.6
data-raw/flowcam-summaries-feb20/C12-2_summary,12,C12-2,13292,17-02-20 14:34,689.59
data-raw/flowcam-summaries-feb20/C12-3_summary,12,C12-3,13959,17-02-20 14:38,974.33
data-raw/flowcam-summaries-feb20/C12-4_summary,12,C12-4,20763,17-02-20 14:39,746.5
data-raw/flowcam-summaries-feb20/C12-5_summary,12,C12-5,13471,17-02-20 14:41,662.93
data-raw/flowcam-summaries-feb20/c18-1_summary,18,C18-1,45896,17-02-20 17:12,444.77
data-raw/flowcam-summaries-feb20/c18-2_summary,18,C18-2,56823,17-02-20 17:13,743.54
data-raw/flowcam-summaries-feb20/c18-3_summary,18,C18-3,35030,17-02-20 17:14,519.47
data-raw/flowcam-summaries-feb20/c18-4_summary,18,C18-4,86804,17-02-20 17:17,472.13
data-raw/flowcam-summaries-feb20/c18-5_summary,18,C18-5,25213,17-02-20 17:18,452.71
